,event_id,attendee_id,order_id,purchase_quad,purchase_type
94,1,46781,2460,2,0
95,1,46781,2460,2,1
96,1,46781,2460,3,0
97,1,46781,2460,2,0
98,1,46781,2460,1,0
99,1,116588,3905,2,1
100,1,116588,3905,3,0
101,1,116588,3905,3,2
102,1,393159,5202,2,0
103,1,393159,5202,3,0
104,1,393159,5202,2,1
105,1,393159,5202,2,1
106,1,393159,5202,3,0
107,1,393159,5202,3,1
108,1,30036,321,2,0
109,1,30036,321,3,1
110,1,30036,321,4,1
111,1,30036,321,3,0
112,1,30036,321,2,0
113,1,30036,321,2,1
114,1,30036,321,3,0
115,1,30036,321,3,0
116,1,30036,321,2,0
117,1,30036,321,2,0
118,1,30036,321,3,2
119,1,30036,321,2,0
120,1,6721,4223,4,0
121,1,6721,4223,3,0
122,1,6721,4223,2,0
123,1,212279,2560,1,0
124,1,212279,2560,2,0
125,1,212279,2560,3,0
126,1,1538,3078,3,0
127,1,1538,3078,3,0
128,1,1538,3078,3,1
129,1,1538,3078,3,0
130,1,1538,3078,3,1
131,1,1538,3078,3,0
132,1,1538,3078,2,0
133,1,1538,3078,3,0
134,1,1538,3078,3,0
135,1,1538,3078,4,0
136,1,1538,3078,3,1
137,1,1538,3078,2,0
138,1,87656,1122,2,0
139,1,87656,1122,2,1
140,1,87656,1122,1,1
141,1,389279,6864,3,0
142,1,389279,6864,2,0
143,1,389279,6864,3,0
144,1,45302,6229,3,0
145,1,45302,6229,3,0
146,1,45302,6229,2,0
147,1,45302,6229,2,1
148,1,45302,6229,2,0
149,1,45302,6229,2,0
150,1,237478,6115,3,1
151,1,237478,6115,4,1
152,1,237478,6115,2,0
153,1,29377,4959,2,2
154,1,29377,4959,2,1
155,1,29377,4959,3,1
156,1,29377,4959,4,1
157,1,29377,4959,3,1
158,1,29377,4959,1,1
159,1,29377,4959,1,0
160,1,29377,4959,3,0
161,1,29377,4959,2,0
162,1,29377,4959,3,0
163,1,29377,4959,2,0
164,1,29377,4959,2,2
165,1,29377,4959,3,0
166,1,29377,4959,3,1
167,1,29377,4959,2,0
168,1,35827,5435,3,2
169,1,35827,5435,1,1
170,1,35827,5435,2,0
171,1,35827,5435,2,0
172,1,35827,5435,3,0
173,1,35827,5435,2,0
174,1,35827,5435,3,2
175,1,35827,5435,3,0
176,1,35827,5435,2,0
177,1,35827,5435,3,2
178,1,35827,5435,2,0
179,1,35827,5435,3,0
180,1,35827,5435,1,0
181,1,35827,5435,3,0
182,1,35827,5435,3,0
183,1,39837,2308,2,1
184,1,39837,2308,2,1
185,1,39837,2308,2,1
186,1,185291,6737,2,1
187,1,185291,6737,3,1
188,1,185291,6737,1,1
189,1,33588,7457,2,0
190,1,33588,7457,2,0
191,1,33588,7457,2,0
192,1,33588,7457,4,0
193,1,33588,7457,2,0
194,1,33588,7457,3,0
195,1,33588,7457,2,0
196,1,33588,7457,3,0
197,1,33588,7457,4,1
198,1,33588,7457,3,1
199,1,33588,7457,3,0
200,1,33588,7457,2,2
201,1,284952,7411,3,0
202,1,284952,7411,3,1
203,1,284952,7411,3,1
204,1,12485,654,1,1
205,1,12485,654,3,1
206,1,12485,654,2,2
207,1,12485,654,4,1
208,1,12485,654,2,1
209,1,12485,654,3,0
210,1,12485,654,3,0
211,1,12485,654,2,0
212,1,12485,654,3,2
213,1,280410,4793,4,0
214,1,280410,4793,3,2
215,1,280410,4793,2,1
216,1,58389,7479,3,1
217,1,58389,7479,2,1
218,1,58389,7479,3,1
219,1,263321,476,3,0
220,1,263321,476,2,2
221,1,263321,476,2,1
222,1,291447,261,1,1
223,1,291447,261,2,1
224,1,291447,261,2,2
225,1,324329,3135,3,2
226,1,324329,3135,3,1
227,1,324329,3135,3,1
228,1,320154,1504,3,0
229,1,320154,1504,1,1
230,1,320154,1504,2,1
231,1,320154,1504,2,0
232,1,320154,1504,3,0
233,1,320154,1504,3,0
234,1,168431,1276,3,1
235,1,168431,1276,3,2
236,1,168431,1276,2,0
237,1,303373,3598,2,1
238,1,303373,3598,2,1
239,1,303373,3598,3,0
240,1,345760,7439,3,0
241,1,345760,7439,3,2
242,1,345760,7439,3,0
243,1,345760,7439,2,1
244,1,345760,7439,1,0
245,1,345760,7439,1,1
246,1,52545,2299,3,0
247,1,52545,2299,2,0
248,1,52545,2299,2,0
249,1,58594,2820,3,1
250,1,58594,2820,2,1
251,1,58594,2820,2,2
252,1,173451,6826,1,1
253,1,173451,6826,1,1
254,1,173451,6826,3,0
255,1,20446,6954,3,1
256,1,20446,6954,2,1
257,1,20446,6954,3,2
258,1,20446,6954,4,0
259,1,20446,6954,3,1
260,1,20446,6954,2,0
261,1,20446,6954,3,2
262,1,20446,6954,2,0
263,1,20446,6954,3,1
264,1,256581,7698,3,0
265,1,256581,7698,2,1
266,1,256581,7698,3,1
267,1,50787,4953,4,1
268,1,50787,4953,3,0
269,1,50787,4953,1,1
270,1,226419,341,3,1
271,1,226419,341,2,1
272,1,226419,341,3,0
273,1,383234,411,2,1
274,1,383234,411,3,1
275,1,383234,411,2,0
276,1,383234,411,2,0
277,1,383234,411,3,1
278,1,383234,411,3,1
279,1,263419,3972,2,0
280,1,263419,3972,3,0
281,1,263419,3972,2,0
282,1,361190,1632,1,0
283,1,361190,1632,3,1
284,1,361190,1632,3,0
285,1,172160,3079,2,0
286,1,172160,3079,3,1
287,1,172160,3079,3,0
288,1,273200,1954,3,2
289,1,273200,1954,3,2
290,1,273200,1954,2,1
291,1,246750,5638,3,1
292,1,246750,5638,2,0
293,1,246750,5638,2,1
294,1,370873,2467,3,1
295,1,370873,2467,1,0
296,1,370873,2467,1,1
297,1,370873,2467,4,1
298,1,370873,2467,3,0
299,1,370873,2467,2,1
300,1,294471,7765,3,0
301,1,294471,7765,2,0
302,1,294471,7765,2,1
303,1,47570,2887,4,0
304,1,47570,2887,3,0
305,1,47570,2887,2,1
306,1,47570,2887,2,0
307,1,47570,2887,1,2
308,1,47570,2887,3,0
309,1,47570,2887,3,0
310,1,47570,2887,1,0
311,1,47570,2887,1,1
312,1,299723,2002,1,0
313,1,299723,2002,2,1
314,1,299723,2002,2,0
315,1,116628,5743,2,1
316,1,116628,5743,3,0
317,1,116628,5743,1,1
318,1,362451,3206,2,0
319,1,362451,3206,3,0
320,1,362451,3206,4,0
321,1,362451,3206,3,1
322,1,362451,3206,3,1
323,1,362451,3206,3,0
324,1,15968,7405,2,0
325,1,15968,7405,2,1
326,1,15968,7405,2,2
327,1,15968,7405,2,0
328,1,15968,7405,3,0
329,1,15968,7405,3,0
330,1,15968,7405,3,1
331,1,15968,7405,2,1
332,1,15968,7405,2,0
333,1,142883,7936,3,0
334,1,142883,7936,2,0
335,1,142883,7936,3,1
336,1,199757,4170,3,0
337,1,199757,4170,1,1
338,1,199757,4170,4,0
339,1,330116,3029,2,0
340,1,330116,3029,2,1
341,1,330116,3029,2,1
342,1,29593,5403,3,2
343,1,29593,5403,2,0
344,1,29593,5403,2,0
345,1,29593,5403,2,2
346,1,29593,5403,4,0
347,1,29593,5403,2,1
348,1,29593,5403,2,0
349,1,29593,5403,4,0
350,1,29593,5403,4,0
351,1,29593,5403,3,1
352,1,29593,5403,2,0
353,1,29593,5403,3,0
354,1,2679,2261,2,0
355,1,2679,2261,3,0
356,1,2679,2261,2,1
357,1,2679,2261,3,0
358,1,2679,2261,1,1
359,1,2679,2261,3,1
360,1,2679,2261,3,0
361,1,2679,2261,3,1
362,1,2679,2261,3,1
363,1,8260,1328,3,0
364,1,8260,1328,3,1
365,1,8260,1328,3,0
366,1,8260,1328,1,1
367,1,8260,1328,3,0
368,1,8260,1328,2,0
369,1,366090,2084,2,0
370,1,366090,2084,2,0
371,1,366090,2084,2,0
372,1,366090,2084,3,0
373,1,366090,2084,2,2
374,1,366090,2084,4,0
375,1,256628,250,3,0
376,1,256628,250,3,1
377,1,256628,250,3,0
378,1,256463,6304,2,0
379,1,256463,6304,2,1
380,1,256463,6304,2,0
381,1,181619,4523,1,0
382,1,181619,4523,2,0
383,1,181619,4523,2,1
384,1,394717,768,2,1
385,1,394717,768,3,0
386,1,394717,768,3,0
387,1,394717,768,2,0
388,1,394717,768,3,1
389,1,394717,768,2,0
390,1,271094,504,3,0
391,1,271094,504,4,2
392,1,271094,504,4,0
393,1,208111,4895,3,0
394,1,208111,4895,2,0
395,1,208111,4895,1,1
396,1,308395,7436,2,1
397,1,308395,7436,2,1
398,1,308395,7436,2,0
399,1,308395,7436,3,0
400,1,308395,7436,1,0
401,1,308395,7436,2,1
402,1,308395,7436,2,1
403,1,308395,7436,4,1
404,1,308395,7436,1,1
405,1,102769,1445,1,1
406,1,102769,1445,2,0
407,1,102769,1445,3,0
408,1,164666,1298,2,0
409,1,164666,1298,2,0
410,1,164666,1298,2,1
411,1,155588,6077,2,0
412,1,155588,6077,3,1
413,1,155588,6077,3,0
414,1,291950,6354,2,0
415,1,291950,6354,3,2
416,1,291950,6354,3,0
417,1,39040,1794,3,0
418,1,39040,1794,3,2
419,1,39040,1794,3,0
420,1,39040,1794,3,1
421,1,39040,1794,3,0
422,1,39040,1794,4,0
423,1,39040,1794,3,0
424,1,39040,1794,3,0
425,1,39040,1794,2,1
